Running ./shock1d.py

Starting from step 0
--------------------------------------------------------------------------
By default, for Open MPI 4.0 and later, infiniband ports on a device
are not used by default.  The intent is to use UCX for these devices.
You can override this policy by setting the btl_openib_allow_ib MCA parameter
to true.

  Local host:              lassen801
  Local adapter:           mlx5_1
  Local port:              1

--------------------------------------------------------------------------
--------------------------------------------------------------------------
WARNING: There was an error initializing an OpenFabrics device.

  Local host:   lassen801
  Local device: mlx5_1
--------------------------------------------------------------------------
[lassen801:117940] mca_base_component_repository_open: unable to open mca_pml_pami: libpami.so.3: cannot open shared object file: No such file or directory (ignored)
[1612556754.740572] [lassen801:117940:0]         mxm.c:196  MXM  WARN  The 'ulimit -s' on the system is set to 'unlimited'. This may have negative performance implications. Please set the stack size to the default value (10240) 
[lassen801:117940] mca_base_component_repository_open: unable to open mca_coll_ibm: libcollectives.so.3: cannot open shared object file: No such file or directory (ignored)
[lassen801:117940] mca_base_component_repository_open: unable to open mca_osc_pami: libpami.so.3: cannot open shared object file: No such file or directory (ignored)
Shock capturing parameters: alpha 0.1, s0 -4.0, kappa 0.5
Time step estimate 4.2819136230110855e-07

Viscous timestep estimate 2.856253464975275e-07

4482 elements
rank 0: sent all mesh partitions
Making discretization
Initializing soln.
/p/gpfs1/manders/work/CEESD/Drivers/CEESD-Y1_Shock1D/emirge/mirgecom/mirgecom/logging_quantities.py:289: UserWarning: Logging had to guess units for 'pressure': 'Pa'.It should not have to. Some other component should tell it.
  warn(f"Logging had to guess units for '{quantity}': '{unit}'."
/p/gpfs1/manders/work/CEESD/Drivers/CEESD-Y1_Shock1D/emirge/mirgecom/mirgecom/logging_quantities.py:289: UserWarning: Logging had to guess units for 'temperature': 'K'.It should not have to. Some other component should tell it.
  warn(f"Logging had to guess units for '{quantity}': '{unit}'."
/p/gpfs1/manders/work/CEESD/Drivers/CEESD-Y1_Shock1D/emirge/mirgecom/mirgecom/logging_quantities.py:244: UserWarning: Logging had to guess units for 'mass': 'kg/m^3'.It should not have to. Some other component should tell it.
  warn(f"Logging had to guess units for '{quantity}': '{unit}'."
/p/gpfs1/manders/work/CEESD/Drivers/CEESD-Y1_Shock1D/emirge/mirgecom/mirgecom/logging_quantities.py:244: UserWarning: Logging had to guess units for 'energy': 'J/m^3'.It should not have to. Some other component should tell it.
  warn(f"Logging had to guess units for '{quantity}': '{unit}'."
/p/gpfs1/manders/work/CEESD/Drivers/CEESD-Y1_Shock1D/emirge/mirgecom/mirgecom/logging_quantities.py:244: UserWarning: Logging had to guess units for 'momentum': 'kg*m/s/m^3'.It should not have to. Some other component should tell it.
  warn(f"Logging had to guess units for '{quantity}': '{unit}'."
./shock1d.py:330: DeprecationWarning: DGDiscretizationWithBoundaries.order is deprecated, consider using the orders of element groups instead. 'order' will go away in 2021.
  visualizer = make_visualizer(discr, discr.order)
Initialization for Case(y0euler)
===
Num 2d order-1 elements: 4482
Num global elements: 4482
Timestep:        2.5e-07
Final time:      0.0003
CFL:             1.0
Constant CFL:    False
Initialization:  pseudoY0
EOS:             IdealSingleGas

Stepping.
Status: step=0 t=0
------- P(100, 438)
------- T(298, 450)
------- dt=2.5e-07 cfl=1.0
------- errors=0.00165, 793, 1.13, 0
building face restriction: start
building face restriction: done
building face restriction: start
building face restriction: done
building face restriction: start
building face restriction: done
building face restriction: start
building face restriction: done
building face restriction: start
building face restriction: done
step.max=0 | t_sim.max=0 | t_step.max=4.40096 | min_pressure=0 | max_pressure=0 | min_temperature=0 | max_temperature=0 | memory_usage.max=833.188
step.max=1 | t_sim.max=2.5e-07 | t_step.max=1.10224 | min_pressure=100 | max_pressure=437.875 | min_temperature=297.995 | max_temperature=449.772 | memory_usage.max=907.875
step.max=2 | t_sim.max=5e-07 | t_step.max=1.1078 | min_pressure=100 | max_pressure=437.881 | min_temperature=297.995 | max_temperature=449.773 | memory_usage.max=918.75
step.max=3 | t_sim.max=7.5e-07 | t_step.max=1.10262 | min_pressure=100 | max_pressure=437.884 | min_temperature=297.995 | max_temperature=449.774 | memory_usage.max=919.062
step.max=4 | t_sim.max=1e-06 | t_step.max=1.11395 | min_pressure=100 | max_pressure=437.886 | min_temperature=297.995 | max_temperature=449.775 | memory_usage.max=919.125
step.max=5 | t_sim.max=1.25e-06 | t_step.max=1.10377 | min_pressure=100 | max_pressure=437.887 | min_temperature=297.995 | max_temperature=449.775 | memory_usage.max=920.312
step.max=6 | t_sim.max=1.5e-06 | t_step.max=1.10348 | min_pressure=100 | max_pressure=437.886 | min_temperature=297.995 | max_temperature=449.774 | memory_usage.max=920.75
step.max=7 | t_sim.max=1.75e-06 | t_step.max=1.10246 | min_pressure=100 | max_pressure=437.884 | min_temperature=297.995 | max_temperature=449.775 | memory_usage.max=920.75
step.max=8 | t_sim.max=2e-06 | t_step.max=1.1022 | min_pressure=100 | max_pressure=437.885 | min_temperature=297.995 | max_temperature=449.775 | memory_usage.max=924.062
step.max=9 | t_sim.max=2.25e-06 | t_step.max=1.11105 | min_pressure=100 | max_pressure=437.887 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=924.062
step.max=10 | t_sim.max=2.5e-06 | t_step.max=1.1022 | min_pressure=100 | max_pressure=437.889 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=928.438
step.max=11 | t_sim.max=2.75e-06 | t_step.max=1.10107 | min_pressure=100 | max_pressure=437.89 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=928.438
step.max=12 | t_sim.max=3e-06 | t_step.max=1.09978 | min_pressure=100 | max_pressure=437.89 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=930.562
step.max=13 | t_sim.max=3.25e-06 | t_step.max=1.10028 | min_pressure=100 | max_pressure=437.89 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=930.562
step.max=14 | t_sim.max=3.5e-06 | t_step.max=1.10622 | min_pressure=100 | max_pressure=437.889 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=934.625
step.max=15 | t_sim.max=3.75e-06 | t_step.max=1.10256 | min_pressure=100 | max_pressure=437.888 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=936.25
step.max=16 | t_sim.max=4e-06 | t_step.max=1.10009 | min_pressure=100 | max_pressure=437.888 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=936.625
step.max=17 | t_sim.max=4.25e-06 | t_step.max=1.10029 | min_pressure=100 | max_pressure=437.889 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=936.625
step.max=18 | t_sim.max=4.5e-06 | t_step.max=1.09938 | min_pressure=100 | max_pressure=437.89 | min_temperature=297.995 | max_temperature=449.777 | memory_usage.max=939.5
step.max=19 | t_sim.max=4.75e-06 | t_step.max=1.10567 | min_pressure=100 | max_pressure=437.89 | min_temperature=297.995 | max_temperature=449.777 | memory_usage.max=939.5
step.max=20 | t_sim.max=5e-06 | t_step.max=1.10226 | min_pressure=100 | max_pressure=437.89 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=944.188
step.max=21 | t_sim.max=5.25e-06 | t_step.max=1.10046 | min_pressure=100 | max_pressure=437.889 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=944.75
step.max=22 | t_sim.max=5.5e-06 | t_step.max=1.11815 | min_pressure=100 | max_pressure=437.889 | min_temperature=297.995 | max_temperature=449.777 | memory_usage.max=944.75
