Running ./shock1d.py

Starting from step 0
--------------------------------------------------------------------------
By default, for Open MPI 4.0 and later, infiniband ports on a device
are not used by default.  The intent is to use UCX for these devices.
You can override this policy by setting the btl_openib_allow_ib MCA parameter
to true.

  Local host:              lassen801
  Local adapter:           mlx5_1
  Local port:              1

--------------------------------------------------------------------------
--------------------------------------------------------------------------
WARNING: There was an error initializing an OpenFabrics device.

  Local host:   lassen801
  Local device: mlx5_1
--------------------------------------------------------------------------
[lassen801:118761] mca_base_component_repository_open: unable to open mca_pml_pami: libpami.so.3: cannot open shared object file: No such file or directory (ignored)
[1612556763.492658] [lassen801:118761:0]         mxm.c:196  MXM  WARN  The 'ulimit -s' on the system is set to 'unlimited'. This may have negative performance implications. Please set the stack size to the default value (10240) 
[lassen801:118761] mca_base_component_repository_open: unable to open mca_coll_ibm: libcollectives.so.3: cannot open shared object file: No such file or directory (ignored)
[lassen801:118761] mca_base_component_repository_open: unable to open mca_osc_pami: libpami.so.3: cannot open shared object file: No such file or directory (ignored)
Shock capturing parameters: alpha 0.1, s0 -7.0, kappa 0.5
Time step estimate 4.2819136230110855e-07

Viscous timestep estimate 2.856253464975275e-07

4482 elements
rank 0: sent all mesh partitions
Making discretization
Initializing soln.
/p/gpfs1/manders/work/CEESD/Drivers/CEESD-Y1_Shock1D/emirge/mirgecom/mirgecom/logging_quantities.py:289: UserWarning: Logging had to guess units for 'pressure': 'Pa'.It should not have to. Some other component should tell it.
  warn(f"Logging had to guess units for '{quantity}': '{unit}'."
/p/gpfs1/manders/work/CEESD/Drivers/CEESD-Y1_Shock1D/emirge/mirgecom/mirgecom/logging_quantities.py:289: UserWarning: Logging had to guess units for 'temperature': 'K'.It should not have to. Some other component should tell it.
  warn(f"Logging had to guess units for '{quantity}': '{unit}'."
/p/gpfs1/manders/work/CEESD/Drivers/CEESD-Y1_Shock1D/emirge/mirgecom/mirgecom/logging_quantities.py:244: UserWarning: Logging had to guess units for 'mass': 'kg/m^3'.It should not have to. Some other component should tell it.
  warn(f"Logging had to guess units for '{quantity}': '{unit}'."
/p/gpfs1/manders/work/CEESD/Drivers/CEESD-Y1_Shock1D/emirge/mirgecom/mirgecom/logging_quantities.py:244: UserWarning: Logging had to guess units for 'energy': 'J/m^3'.It should not have to. Some other component should tell it.
  warn(f"Logging had to guess units for '{quantity}': '{unit}'."
/p/gpfs1/manders/work/CEESD/Drivers/CEESD-Y1_Shock1D/emirge/mirgecom/mirgecom/logging_quantities.py:244: UserWarning: Logging had to guess units for 'momentum': 'kg*m/s/m^3'.It should not have to. Some other component should tell it.
  warn(f"Logging had to guess units for '{quantity}': '{unit}'."
./shock1d.py:330: DeprecationWarning: DGDiscretizationWithBoundaries.order is deprecated, consider using the orders of element groups instead. 'order' will go away in 2021.
  visualizer = make_visualizer(discr, discr.order)
Initialization for Case(y0euler)
===
Num 2d order-1 elements: 4482
Num global elements: 4482
Timestep:        2.5e-07
Final time:      0.0003
CFL:             1.0
Constant CFL:    False
Initialization:  pseudoY0
EOS:             IdealSingleGas

Stepping.
Status: step=0 t=0
------- P(100, 438)
------- T(298, 450)
------- dt=2.5e-07 cfl=1.0
------- errors=0.00165, 793, 1.13, 0
building face restriction: start
building face restriction: done
building face restriction: start
building face restriction: done
building face restriction: start
building face restriction: done
building face restriction: start
building face restriction: done
building face restriction: start
building face restriction: done
step.max=0 | t_sim.max=0 | t_step.max=8.4734 | min_pressure=0 | max_pressure=0 | min_temperature=0 | max_temperature=0 | memory_usage.max=844.125
step.max=21 | t_sim.max=5.25e-06 | t_step.max=1.10051 | min_pressure=100 | max_pressure=437.889 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=957.625
step.max=22 | t_sim.max=5.5e-06 | t_step.max=1.09993 | min_pressure=100 | max_pressure=437.889 | min_temperature=297.995 | max_temperature=449.777 | memory_usage.max=957.625
step.max=23 | t_sim.max=5.75e-06 | t_step.max=1.10013 | min_pressure=100 | max_pressure=437.89 | min_temperature=297.995 | max_temperature=449.777 | memory_usage.max=957.625
step.max=24 | t_sim.max=6e-06 | t_step.max=1.12587 | min_pressure=100 | max_pressure=437.891 | min_temperature=297.995 | max_temperature=449.777 | memory_usage.max=961.375
step.max=25 | t_sim.max=6.25e-06 | t_step.max=1.10329 | min_pressure=100 | max_pressure=437.892 | min_temperature=297.995 | max_temperature=449.783 | memory_usage.max=964.125
step.max=26 | t_sim.max=6.5e-06 | t_step.max=1.10081 | min_pressure=100 | max_pressure=437.892 | min_temperature=297.995 | max_temperature=449.803 | memory_usage.max=965.125
step.max=27 | t_sim.max=6.75e-06 | t_step.max=1.09991 | min_pressure=100 | max_pressure=437.891 | min_temperature=297.995 | max_temperature=449.822 | memory_usage.max=965.125
step.max=28 | t_sim.max=7e-06 | t_step.max=1.10138 | min_pressure=100 | max_pressure=437.891 | min_temperature=297.995 | max_temperature=449.855 | memory_usage.max=968.625
step.max=29 | t_sim.max=7.25e-06 | t_step.max=1.10798 | min_pressure=100 | max_pressure=437.892 | min_temperature=297.995 | max_temperature=449.927 | memory_usage.max=968.625
step.max=30 | t_sim.max=7.5e-06 | t_step.max=1.10266 | min_pressure=100 | max_pressure=437.893 | min_temperature=297.995 | max_temperature=450.008 | memory_usage.max=971.875
step.max=31 | t_sim.max=7.75e-06 | t_step.max=1.10078 | min_pressure=100 | max_pressure=437.894 | min_temperature=297.995 | max_temperature=450.104 | memory_usage.max=971.875
step.max=32 | t_sim.max=8e-06 | t_step.max=1.10065 | min_pressure=100 | max_pressure=437.894 | min_temperature=297.995 | max_temperature=450.211 | memory_usage.max=973.75
step.max=33 | t_sim.max=8.25e-06 | t_step.max=1.10046 | min_pressure=100 | max_pressure=437.893 | min_temperature=297.995 | max_temperature=450.325 | memory_usage.max=973.75
step.max=34 | t_sim.max=8.5e-06 | t_step.max=1.10012 | min_pressure=100 | max_pressure=437.893 | min_temperature=297.995 | max_temperature=450.454 | memory_usage.max=976.938
step.max=35 | t_sim.max=8.75e-06 | t_step.max=1.10782 | min_pressure=100 | max_pressure=437.895 | min_temperature=297.995 | max_temperature=450.587 | memory_usage.max=976.938
step.max=36 | t_sim.max=9e-06 | t_step.max=1.10089 | min_pressure=100 | max_pressure=437.896 | min_temperature=297.995 | max_temperature=450.735 | memory_usage.max=981.188
step.max=37 | t_sim.max=9.25e-06 | t_step.max=1.10289 | min_pressure=100 | max_pressure=437.896 | min_temperature=297.995 | max_temperature=450.878 | memory_usage.max=982.125
step.max=38 | t_sim.max=9.5e-06 | t_step.max=1.10029 | min_pressure=100 | max_pressure=437.907 | min_temperature=297.995 | max_temperature=451.044 | memory_usage.max=984.188
step.max=39 | t_sim.max=9.75e-06 | t_step.max=1.09935 | min_pressure=100 | max_pressure=437.992 | min_temperature=297.995 | max_temperature=451.207 | memory_usage.max=984.188
step.max=40 | t_sim.max=1e-05 | t_step.max=1.09942 | min_pressure=100 | max_pressure=438.088 | min_temperature=297.995 | max_temperature=451.365 | memory_usage.max=984.188
step.max=41 | t_sim.max=1.025e-05 | t_step.max=1.10716 | min_pressure=100 | max_pressure=438.194 | min_temperature=297.995 | max_temperature=451.55 | memory_usage.max=988
step.max=42 | t_sim.max=1.05e-05 | t_step.max=1.10091 | min_pressure=100 | max_pressure=438.313 | min_temperature=297.995 | max_temperature=451.73 | memory_usage.max=990.562
step.max=43 | t_sim.max=1.075e-05 | t_step.max=1.10337 | min_pressure=100 | max_pressure=438.498 | min_temperature=297.995 | max_temperature=451.905 | memory_usage.max=990.875
step.max=44 | t_sim.max=1.1e-05 | t_step.max=1.10023 | min_pressure=100 | max_pressure=438.759 | min_temperature=297.995 | max_temperature=452.081 | memory_usage.max=993.25
step.max=45 | t_sim.max=1.125e-05 | t_step.max=1.10026 | min_pressure=100 | max_pressure=439.052 | min_temperature=297.995 | max_temperature=452.281 | memory_usage.max=993.25
step.max=46 | t_sim.max=1.15e-05 | t_step.max=1.10052 | min_pressure=100 | max_pressure=439.396 | min_temperature=297.995 | max_temperature=452.474 | memory_usage.max=993.25
step.max=47 | t_sim.max=1.175e-05 | t_step.max=1.10051 | min_pressure=100 | max_pressure=439.759 | min_temperature=297.995 | max_temperature=452.66 | memory_usage.max=996.875
step.max=48 | t_sim.max=1.2e-05 | t_step.max=1.1006 | min_pressure=100 | max_pressure=440.159 | min_temperature=297.995 | max_temperature=452.841 | memory_usage.max=996.875
step.max=49 | t_sim.max=1.225e-05 | t_step.max=1.10699 | min_pressure=100 | max_pressure=440.587 | min_temperature=297.995 | max_temperature=453.035 | memory_usage.max=1001
step.max=50 | t_sim.max=1.25e-05 | t_step.max=1.22117 | min_pressure=100 | max_pressure=441.037 | min_temperature=297.995 | max_temperature=453.242 | memory_usage.max=1002.19
step.max=51 | t_sim.max=1.275e-05 | t_step.max=1.10025 | min_pressure=100 | max_pressure=441.485 | min_temperature=297.995 | max_temperature=453.441 | memory_usage.max=1011.06
step.max=52 | t_sim.max=1.3e-05 | t_step.max=1.10126 | min_pressure=100 | max_pressure=442.013 | min_temperature=297.995 | max_temperature=453.635 | memory_usage.max=1011.06
step.max=53 | t_sim.max=1.325e-05 | t_step.max=1.09978 | min_pressure=100 | max_pressure=442.533 | min_temperature=297.995 | max_temperature=453.821 | memory_usage.max=1011.19
step.max=54 | t_sim.max=1.35e-05 | t_step.max=1.10094 | min_pressure=100 | max_pressure=443.035 | min_temperature=297.995 | max_temperature=454.001 | memory_usage.max=1011.19
step.max=55 | t_sim.max=1.375e-05 | t_step.max=1.10104 | min_pressure=100 | max_pressure=443.579 | min_temperature=297.995 | max_temperature=454.199 | memory_usage.max=1011.19
step.max=56 | t_sim.max=1.4e-05 | t_step.max=1.1006 | min_pressure=100 | max_pressure=444.157 | min_temperature=297.995 | max_temperature=454.405 | memory_usage.max=1013.88
step.max=57 | t_sim.max=1.425e-05 | t_step.max=1.10425 | min_pressure=100 | max_pressure=444.742 | min_temperature=297.995 | max_temperature=454.605 | memory_usage.max=1013.88
step.max=58 | t_sim.max=1.45e-05 | t_step.max=1.10109 | min_pressure=100 | max_pressure=445.317 | min_temperature=297.995 | max_temperature=454.798 | memory_usage.max=1018.06
step.max=59 | t_sim.max=1.475e-05 | t_step.max=1.10515 | min_pressure=100 | max_pressure=445.868 | min_temperature=297.995 | max_temperature=454.984 | memory_usage.max=1018.94
step.max=60 | t_sim.max=1.5e-05 | t_step.max=1.10057 | min_pressure=100 | max_pressure=446.483 | min_temperature=297.995 | max_temperature=455.164 | memory_usage.max=1021.44
step.max=61 | t_sim.max=1.525e-05 | t_step.max=1.10237 | min_pressure=100 | max_pressure=447.12 | min_temperature=297.995 | max_temperature=455.337 | memory_usage.max=1022.56
step.max=62 | t_sim.max=1.55e-05 | t_step.max=1.10033 | min_pressure=100 | max_pressure=447.745 | min_temperature=297.995 | max_temperature=455.511 | memory_usage.max=1022.56
step.max=63 | t_sim.max=1.575e-05 | t_step.max=1.1002 | min_pressure=100 | max_pressure=448.358 | min_temperature=297.995 | max_temperature=455.71 | memory_usage.max=1022.56
step.max=64 | t_sim.max=1.6e-05 | t_step.max=1.09962 | min_pressure=100 | max_pressure=448.974 | min_temperature=297.995 | max_temperature=455.902 | memory_usage.max=1024.88
step.max=65 | t_sim.max=1.625e-05 | t_step.max=1.10044 | min_pressure=100 | max_pressure=449.597 | min_temperature=297.995 | max_temperature=456.087 | memory_usage.max=1024.88
step.max=66 | t_sim.max=1.65e-05 | t_step.max=1.10016 | min_pressure=100 | max_pressure=450.206 | min_temperature=297.995 | max_temperature=456.265 | memory_usage.max=1027.62
step.max=67 | t_sim.max=1.675e-05 | t_step.max=1.10276 | min_pressure=100 | max_pressure=450.745 | min_temperature=297.995 | max_temperature=456.435 | memory_usage.max=1027.62
step.max=68 | t_sim.max=1.7e-05 | t_step.max=1.11631 | min_pressure=100 | max_pressure=451.356 | min_temperature=297.995 | max_temperature=456.597 | memory_usage.max=1030.88
step.max=69 | t_sim.max=1.725e-05 | t_step.max=1.10149 | min_pressure=100 | max_pressure=452.027 | min_temperature=297.995 | max_temperature=456.75 | memory_usage.max=1032.81
step.max=70 | t_sim.max=1.75e-05 | t_step.max=1.10709 | min_pressure=100 | max_pressure=452.709 | min_temperature=297.995 | max_temperature=456.895 | memory_usage.max=1033.25
step.max=71 | t_sim.max=1.775e-05 | t_step.max=1.10063 | min_pressure=100 | max_pressure=453.533 | min_temperature=297.995 | max_temperature=457.06 | memory_usage.max=1035.12
step.max=72 | t_sim.max=1.8e-05 | t_step.max=1.10338 | min_pressure=100 | max_pressure=454.269 | min_temperature=297.995 | max_temperature=457.235 | memory_usage.max=1037
step.max=73 | t_sim.max=1.825e-05 | t_step.max=1.10084 | min_pressure=100 | max_pressure=454.826 | min_temperature=297.995 | max_temperature=457.402 | memory_usage.max=1037
step.max=74 | t_sim.max=1.85e-05 | t_step.max=1.09981 | min_pressure=100 | max_pressure=455.4 | min_temperature=297.995 | max_temperature=457.56 | memory_usage.max=1037
step.max=75 | t_sim.max=1.875e-05 | t_step.max=1.10019 | min_pressure=100 | max_pressure=455.836 | min_temperature=297.995 | max_temperature=457.71 | memory_usage.max=1040.88
step.max=76 | t_sim.max=1.9e-05 | t_step.max=1.10023 | min_pressure=100 | max_pressure=456.319 | min_temperature=297.995 | max_temperature=457.851 | memory_usage.max=1040.88
step.max=77 | t_sim.max=1.925e-05 | t_step.max=1.09973 | min_pressure=100 | max_pressure=456.941 | min_temperature=297.995 | max_temperature=457.985 | memory_usage.max=1044.94
step.max=78 | t_sim.max=1.95e-05 | t_step.max=1.09997 | min_pressure=100 | max_pressure=457.841 | min_temperature=297.995 | max_temperature=458.11 | memory_usage.max=1044.94
step.max=79 | t_sim.max=1.975e-05 | t_step.max=1.10186 | min_pressure=100 | max_pressure=458.706 | min_temperature=297.995 | max_temperature=458.229 | memory_usage.max=1044.94
step.max=80 | t_sim.max=2e-05 | t_step.max=1.101 | min_pressure=100 | max_pressure=459.25 | min_temperature=297.995 | max_temperature=458.341 | memory_usage.max=1049.94
step.max=81 | t_sim.max=2.025e-05 | t_step.max=1.0999 | min_pressure=100 | max_pressure=459.763 | min_temperature=297.995 | max_temperature=458.478 | memory_usage.max=1051.38
step.max=82 | t_sim.max=2.05e-05 | t_step.max=1.10565 | min_pressure=100 | max_pressure=460.229 | min_temperature=297.995 | max_temperature=458.618 | memory_usage.max=1051.38
step.max=83 | t_sim.max=2.075e-05 | t_step.max=1.10056 | min_pressure=100 | max_pressure=460.637 | min_temperature=297.995 | max_temperature=458.749 | memory_usage.max=1054.56
step.max=84 | t_sim.max=2.1e-05 | t_step.max=1.10036 | min_pressure=100 | max_pressure=461.062 | min_temperature=297.995 | max_temperature=458.873 | memory_usage.max=1054.56
step.max=85 | t_sim.max=2.125e-05 | t_step.max=1.10236 | min_pressure=100 | max_pressure=461.591 | min_temperature=297.995 | max_temperature=458.991 | memory_usage.max=1057.5
step.max=86 | t_sim.max=2.15e-05 | t_step.max=1.10067 | min_pressure=100 | max_pressure=462.429 | min_temperature=297.995 | max_temperature=459.102 | memory_usage.max=1057.5
step.max=87 | t_sim.max=2.175e-05 | t_step.max=1.10071 | min_pressure=100 | max_pressure=463.282 | min_temperature=297.995 | max_temperature=459.207 | memory_usage.max=1057.5
step.max=88 | t_sim.max=2.2e-05 | t_step.max=1.10025 | min_pressure=100 | max_pressure=463.89 | min_temperature=297.995 | max_temperature=459.308 | memory_usage.max=1061.12
step.max=89 | t_sim.max=2.225e-05 | t_step.max=1.10033 | min_pressure=100 | max_pressure=464.37 | min_temperature=297.995 | max_temperature=459.405 | memory_usage.max=1061.12
step.max=90 | t_sim.max=2.25e-05 | t_step.max=1.09968 | min_pressure=100 | max_pressure=464.791 | min_temperature=297.995 | max_temperature=459.498 | memory_usage.max=1065.12
step.max=91 | t_sim.max=2.275e-05 | t_step.max=1.10057 | min_pressure=100 | max_pressure=465.19 | min_temperature=297.995 | max_temperature=459.587 | memory_usage.max=1065.12
step.max=92 | t_sim.max=2.3e-05 | t_step.max=1.10045 | min_pressure=100 | max_pressure=465.552 | min_temperature=297.995 | max_temperature=459.675 | memory_usage.max=1065.12
step.max=93 | t_sim.max=2.325e-05 | t_step.max=1.10174 | min_pressure=100 | max_pressure=465.924 | min_temperature=297.995 | max_temperature=459.76 | memory_usage.max=1069.25
step.max=94 | t_sim.max=2.35e-05 | t_step.max=1.10014 | min_pressure=100 | max_pressure=466.335 | min_temperature=297.995 | max_temperature=459.843 | memory_usage.max=1071.62
step.max=95 | t_sim.max=2.375e-05 | t_step.max=1.10066 | min_pressure=100 | max_pressure=466.9 | min_temperature=297.995 | max_temperature=459.934 | memory_usage.max=1071.62
step.max=96 | t_sim.max=2.4e-05 | t_step.max=1.10033 | min_pressure=100 | max_pressure=467.635 | min_temperature=297.995 | max_temperature=460.026 | memory_usage.max=1073.44
step.max=97 | t_sim.max=2.425e-05 | t_step.max=1.1064 | min_pressure=100 | max_pressure=468.342 | min_temperature=297.995 | max_temperature=460.115 | memory_usage.max=1073.44
step.max=98 | t_sim.max=2.45e-05 | t_step.max=1.09998 | min_pressure=100 | max_pressure=468.789 | min_temperature=297.995 | max_temperature=460.201 | memory_usage.max=1077.81
step.max=99 | t_sim.max=2.475e-05 | t_step.max=1.09973 | min_pressure=100 | max_pressure=469.177 | min_temperature=297.995 | max_temperature=460.284 | memory_usage.max=1077.88
step.max=100 | t_sim.max=2.5e-05 | t_step.max=1.21741 | min_pressure=100 | max_pressure=469.528 | min_temperature=297.995 | max_temperature=460.365 | memory_usage.max=1080.62
step.max=101 | t_sim.max=2.525e-05 | t_step.max=1.10118 | min_pressure=100 | max_pressure=469.822 | min_temperature=297.995 | max_temperature=460.443 | memory_usage.max=1085.62
step.max=102 | t_sim.max=2.55e-05 | t_step.max=1.10032 | min_pressure=100 | max_pressure=470.127 | min_temperature=297.995 | max_temperature=460.52 | memory_usage.max=1085.62
step.max=103 | t_sim.max=2.575e-05 | t_step.max=1.10034 | min_pressure=100 | max_pressure=470.457 | min_temperature=297.995 | max_temperature=460.595 | memory_usage.max=1085.62
step.max=104 | t_sim.max=2.6e-05 | t_step.max=1.09933 | min_pressure=100 | max_pressure=470.789 | min_temperature=297.995 | max_temperature=460.668 | memory_usage.max=1089.12
step.max=105 | t_sim.max=2.625e-05 | t_step.max=1.09966 | min_pressure=100 | max_pressure=471.085 | min_temperature=297.995 | max_temperature=460.74 | memory_usage.max=1089.12
step.max=106 | t_sim.max=2.65e-05 | t_step.max=1.10081 | min_pressure=100 | max_pressure=471.409 | min_temperature=297.995 | max_temperature=460.81 | memory_usage.max=1089.12
step.max=107 | t_sim.max=2.675e-05 | t_step.max=1.09898 | min_pressure=100 | max_pressure=471.963 | min_temperature=297.995 | max_temperature=460.877 | memory_usage.max=1094.06
step.max=108 | t_sim.max=2.7e-05 | t_step.max=1.09983 | min_pressure=100 | max_pressure=472.511 | min_temperature=297.995 | max_temperature=460.942 | memory_usage.max=1095.44
step.max=109 | t_sim.max=2.725e-05 | t_step.max=1.10035 | min_pressure=100 | max_pressure=473.037 | min_temperature=297.995 | max_temperature=461.006 | memory_usage.max=1095.44
step.max=110 | t_sim.max=2.75e-05 | t_step.max=1.1004 | min_pressure=100 | max_pressure=473.412 | min_temperature=297.995 | max_temperature=461.068 | memory_usage.max=1099
step.max=111 | t_sim.max=2.775e-05 | t_step.max=1.10614 | min_pressure=100 | max_pressure=473.647 | min_temperature=297.995 | max_temperature=461.128 | memory_usage.max=1099
step.max=112 | t_sim.max=2.8e-05 | t_step.max=1.09972 | min_pressure=100 | max_pressure=473.968 | min_temperature=297.995 | max_temperature=461.186 | memory_usage.max=1102.25
step.max=113 | t_sim.max=2.825e-05 | t_step.max=1.10028 | min_pressure=100 | max_pressure=474.195 | min_temperature=297.995 | max_temperature=461.24 | memory_usage.max=1102.25
step.max=114 | t_sim.max=2.85e-05 | t_step.max=1.09939 | min_pressure=100 | max_pressure=474.388 | min_temperature=297.995 | max_temperature=461.29 | memory_usage.max=1102.56
step.max=115 | t_sim.max=2.875e-05 | t_step.max=1.10193 | min_pressure=100 | max_pressure=474.649 | min_temperature=297.995 | max_temperature=461.336 | memory_usage.max=1102.56
step.max=116 | t_sim.max=2.9e-05 | t_step.max=1.11736 | min_pressure=100 | max_pressure=474.861 | min_temperature=297.995 | max_temperature=461.38 | memory_usage.max=1102.56
step.max=117 | t_sim.max=2.925e-05 | t_step.max=1.10076 | min_pressure=100 | max_pressure=475.101 | min_temperature=297.995 | max_temperature=461.42 | memory_usage.max=1106.19
step.max=118 | t_sim.max=2.95e-05 | t_step.max=1.10054 | min_pressure=100 | max_pressure=475.33 | min_temperature=297.995 | max_temperature=461.458 | memory_usage.max=1108.5
