Running ./shock1d.py

Starting from step 0
Shock capturing parameters: alpha 0.1, s0 -11.0, kappa 0.5
Time step estimate 4.7576818033456516e-08

Viscous timestep estimate 8.662571755935413e-09

4482 elements
step.max=0 | t_sim.max=0 | t_step.max=21.6473 | min_pressure=0 | max_pressure=0 | min_temperature=0 | max_temperature=0 | memory_usage.max=513.812
step.max=35 | t_sim.max=1.75e-06 | t_step.max=1.08542 | min_pressure=100 | max_pressure=437.885 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=579.812
step.max=36 | t_sim.max=1.8e-06 | t_step.max=1.07264 | min_pressure=100 | max_pressure=437.886 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=583.938
step.max=37 | t_sim.max=1.85e-06 | t_step.max=1.07286 | min_pressure=100 | max_pressure=437.886 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=583.938
step.max=38 | t_sim.max=1.9e-06 | t_step.max=1.07242 | min_pressure=100 | max_pressure=437.886 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=583.938
step.max=39 | t_sim.max=1.95e-06 | t_step.max=1.07229 | min_pressure=100 | max_pressure=437.886 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=588.062
step.max=40 | t_sim.max=2e-06 | t_step.max=1.0717 | min_pressure=100 | max_pressure=437.886 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=588.062
step.max=41 | t_sim.max=2.05e-06 | t_step.max=1.07173 | min_pressure=100 | max_pressure=437.886 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=588.062
step.max=42 | t_sim.max=2.1e-06 | t_step.max=1.07242 | min_pressure=100 | max_pressure=437.885 | min_temperature=297.995 | max_temperature=449.775 | memory_usage.max=592.188
step.max=43 | t_sim.max=2.15e-06 | t_step.max=1.07212 | min_pressure=100 | max_pressure=437.885 | min_temperature=297.995 | max_temperature=449.775 | memory_usage.max=592.188
step.max=44 | t_sim.max=2.2e-06 | t_step.max=1.07213 | min_pressure=100 | max_pressure=437.884 | min_temperature=297.995 | max_temperature=449.775 | memory_usage.max=596.312
step.max=45 | t_sim.max=2.25e-06 | t_step.max=1.07152 | min_pressure=100 | max_pressure=437.884 | min_temperature=297.995 | max_temperature=449.775 | memory_usage.max=596.312
step.max=46 | t_sim.max=2.3e-06 | t_step.max=1.0719 | min_pressure=100 | max_pressure=437.884 | min_temperature=297.995 | max_temperature=449.775 | memory_usage.max=596.312
step.max=47 | t_sim.max=2.35e-06 | t_step.max=1.07166 | min_pressure=100 | max_pressure=437.884 | min_temperature=297.995 | max_temperature=449.775 | memory_usage.max=600.438
step.max=48 | t_sim.max=2.4e-06 | t_step.max=1.07185 | min_pressure=100 | max_pressure=437.885 | min_temperature=297.995 | max_temperature=449.775 | memory_usage.max=600.438
step.max=49 | t_sim.max=2.45e-06 | t_step.max=1.07164 | min_pressure=100 | max_pressure=437.885 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=600.438
step.max=50 | t_sim.max=2.5e-06 | t_step.max=1.07179 | min_pressure=100 | max_pressure=437.885 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=604.562
step.max=51 | t_sim.max=2.55e-06 | t_step.max=1.07197 | min_pressure=100 | max_pressure=437.886 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=604.562
step.max=52 | t_sim.max=2.6e-06 | t_step.max=1.07182 | min_pressure=100 | max_pressure=437.886 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=604.562
step.max=53 | t_sim.max=2.65e-06 | t_step.max=1.07194 | min_pressure=100 | max_pressure=437.886 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=608.688
step.max=54 | t_sim.max=2.7e-06 | t_step.max=1.07215 | min_pressure=100 | max_pressure=437.886 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=608.688
step.max=55 | t_sim.max=2.75e-06 | t_step.max=1.07186 | min_pressure=100 | max_pressure=437.885 | min_temperature=297.995 | max_temperature=449.775 | memory_usage.max=612.812
step.max=56 | t_sim.max=2.8e-06 | t_step.max=1.07109 | min_pressure=100 | max_pressure=437.885 | min_temperature=297.995 | max_temperature=449.775 | memory_usage.max=612.812
step.max=57 | t_sim.max=2.85e-06 | t_step.max=1.07182 | min_pressure=100 | max_pressure=437.885 | min_temperature=297.995 | max_temperature=449.775 | memory_usage.max=612.812
step.max=58 | t_sim.max=2.9e-06 | t_step.max=1.07199 | min_pressure=100 | max_pressure=437.885 | min_temperature=297.995 | max_temperature=449.775 | memory_usage.max=616.938
step.max=59 | t_sim.max=2.95e-06 | t_step.max=1.07185 | min_pressure=100 | max_pressure=437.885 | min_temperature=297.995 | max_temperature=449.775 | memory_usage.max=616.938
step.max=60 | t_sim.max=3e-06 | t_step.max=1.07175 | min_pressure=100 | max_pressure=437.885 | min_temperature=297.995 | max_temperature=449.775 | memory_usage.max=616.938
step.max=61 | t_sim.max=3.05e-06 | t_step.max=1.07311 | min_pressure=100 | max_pressure=437.885 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=621.062
